Sold_price,Squarefootage,Type,Style,Community,Municipality District,longitude,latitude,Bedrooms,Dens,Bathrooms,Kitchens,Rooms,Parking Total
482500,1100,Condo Apartment,Apartment,Malvern,E11,-79.216912,43.804398,2,1,2,1,7,1
488000,550,Condo Apartment,Apartment,Bayview Village,C15,-79.370836,43.769503,0,0,1,1,4,0
490000,1100,Condo Apartment,Apartment,Eringate-Centennial-West Deane,W08,-79.571187,43.656005,2,1,2,1,6,1
490000,250,Condo Apartment,Apartment,Waterfront Communities C1,C01,-79.401396,43.643485,1,0,1,1,4,0
500000,550,Condo Apartment,Apartment,Moss Park,C08,-79.354924,43.65682,1,0,1,1,4,0
500000,950,Condo Apartment,Apartment,Parkwoods-Donalda,C13,-79.320805,43.762945,2,0,1,1,5,1
510000,650,Condo Apartment,Apartment,Bendale,E09,-79.261705,43.772621,1,0,1,1,4,1
540000,1100,Condo Townhouse,2-Storey,York University Heights,W05,,,2,0,3,1,5,1
565000,1100,Condo Apartment,Apartment,Milliken,E07,-79.273911,43.825867,2,0,2,1,5,1
588000,550,Condo Apartment,Apartment,Niagara,C01,-79.415476,43.637858,1,0,1,1,4,0
638000,1300,Condo Apartment,Apartment,Milliken,E07,-79.273911,43.825867,2,1,2,1,6,1
460000,250,Condo Apartment,Apartment,Bay Street Corridor,C01,-79.383919,43.661926,0,0,1,1,4,0
490000,250,Condo Apartment,Apartment,South Riverdale,E01,-79.380237,43.656448,1,0,1,1,2,0
410000,1100,Condo Apartment,Apartment,Kingsview Village-The Westway,W09,-79.557781,43.695333,2,0,1,1,6,1
392500,750,Condo Apartment,Apartment,Scarborough Village,E08,-79.21264,43.743567,1,1,1,1,5,1
396600,850,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.544159,43.721149,2,0,1,1,5,1
399000,1100,Condo Apartment,Apartment,Kingsview Village-The Westway,W09,-79.556139,43.695894,2,0,1,1,5,1
405000,550,Condo Apartment,Apartment,Scarborough Village,E08,-79.214225,43.742385,1,0,1,1,4,0
417500,950,Condo Apartment,Apartment,Eglinton East,E08,-79.257787,43.735622,2,0,1,1,5,1
424000,750,Condo Apartment,Apartment,Scarborough Village,E08,-79.568545,43.673903,1,1,1,1,5,1
425000,950,Condo Apartment,Apartment,Malvern,E11,-79.220231,43.805387,2,0,2,1,5,1
425000,750,Condo Apartment,Apartment,Malvern,E11,-79.240865,43.798636,1,0,1,1,3,1
428000,250,Condo Apartment,Apartment,Woburn,E09,-79.229805,43.774605,1,0,1,1,3,0
429000,250,Condo Apartment,Apartment,Niagara,C01,-79.40404,43.64341,0,0,1,1,3,0
430000,250,Condo Apartment,Apartment,Kensington-Chinatown,C01,-79.390058,43.653453,1,0,1,1,4,1
435000,750,Condo Apartment,Apartment,Milliken,E07,-79.27495,43.826271,1,0,1,1,4,1
435000,950,Condo Apartment,Apartment,Dorset Park,E04,-79.28708,43.771219,2,0,1,1,5,1
440000,950,Condo Apartment,Apartment,Mount Olive-Silverstone-Jamestown,W10,-79.583282,43.747443,2,0,1,1,5,1
440000,1500,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.543994,43.722001,3,0,2,1,6,2
440000,950,Condo Apartment,Apartment,Malvern,E11,-79.219085,43.805937,2,0,2,1,5,1
445000,650,Condo Apartment,Apartment,Woburn,E09,-79.2509,43.7803,1,1,1,1,5,1
445000,1300,Condo Townhouse,Stacked Townhouse,Scarborough Village,E08,-79.4163,43.70011,3,0,2,1,8,1
450000,750,Condo Apartment,Apartment,Malvern,E11,-79.216912,43.804398,1,1,2,1,6,1
460000,550,Condo Apartment,Apartment,Woburn,E09,-79.247346,43.780832,1,0,1,1,4,1
460000,950,Condo Apartment,Apartment,Malvern,E11,-79.219085,43.805937,2,0,2,1,5,1
465000,850,Condo Apartment,Apartment,Henry Farm,C15,-79.344195,43.770061,1,0,1,1,5,1
470000,1100,Condo Apartment,Apartment,L'Amoreaux,E05,-79.315419,43.798584,3,0,1,1,6,1
480000,550,Condo Apartment,Apartment,Agincourt South-Malvern West,E07,-79.280751,43.777872,1,0,1,1,4,1
488500,250,Condo Apartment,Apartment,Casa Loma,C02,-79.406617,43.677182,1,0,1,1,3,0
490000,750,Condo Apartment,Apartment,Briar Hill-Belgravia,W04,-79.439889,43.704836,1,0,1,1,4,1
490501,950,Condo Apartment,Apartment,Malvern,E11,-79.219085,43.805937,2,0,2,1,5,1
492800,650,Condo Apartment,Apartment,Agincourt North,E07,-79.266247,43.807889,1,1,1,1,5,1
510000,650,Condo Apartment,Apartment,Scarborough Village,E08,-79.260534,43.716835,1,1,1,1,5,1
540000,750,Condo Apartment,Apartment,Islington-City Centre West,W08,-79.560159,43.641171,1,1,1,1,5,1
554000,850,Condo Apartment,Apartment,Don Valley Village,C15,-79.357271,43.790149,2,0,1,1,5,1
463000,250,Condo Apartment,Apartment,Yorkdale-Glen Park,W04,-79.449,43.719967,0,0,1,1,4,0
520500,650,Condo Apartment,Apartment,Bendale,E09,-79.261705,43.772621,1,0,1,1,4,1
390000,850,Condo Apartment,Apartment,Humbermede,W05,-79.542764,43.749102,2,0,1,1,5,1
399999,1300,Condo Apartment,Apartment,Kingsview Village-The Westway,W09,-79.554118,43.696063,3,0,2,1,6,1
399999,1100,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.543994,43.722001,3,0,2,1,5,1
412000,250,Condo Apartment,Bachelor/Studio,Casa Loma,C02,-79.406617,43.677182,0,0,1,1,3,0
431500,950,Condo Apartment,Apartment,L'Amoreaux,E05,-79.311717,43.79556,2,0,1,1,5,1
440000,850,Condo Apartment,Apartment,Henry Farm,C15,-79.344195,43.770061,1,0,1,1,5,1
445000,1300,Condo Apartment,Apartment,Scarborough Village,E08,-79.222031,43.734417,3,0,2,1,6,1
460000,650,Condo Apartment,Apartment,Woburn,E09,-79.247547,43.78166,1,1,1,1,5,1
460000,550,Condo Apartment,Apartment,Eglinton East,E08,-79.262814,43.734166,1,0,1,1,4,1
465000,250,Condo Apartment,Apartment,Moss Park,C08,-79.354924,43.65682,1,0,1,1,3,0
485000,1100,Condo Apartment,Apartment,Scarborough Village,E08,-79.21264,43.743567,2,1,2,1,6,3
520000,550,Condo Apartment,Apartment,Islington-City Centre West,W08,-79.530295,43.644779,1,0,1,1,4,1
370000,1100,Condo Apartment,Apartment,Bedford Park-Nortown,C04,-79.432202,43.730588,2,0,2,1,7,1
400000,1100,Condo Apartment,Apartment,Malvern,E11,-79.226944,43.810909,2,0,2,1,5,1
400000,1100,Condo Apartment,Apartment,Malvern,E11,-79.226944,43.810909,2,0,2,1,5,1
411000,1100,Condo Apartment,Apartment,Mount Olive-Silverstone-Jamestown,W10,-79.579718,43.747724,2,0,1,1,5,1
400000,650,Condo Apartment,Apartment,Flemingdon Park,C11,-79.333335,43.711432,1,0,1,1,4,1
400000,650,Condo Apartment,Apartment,Flemingdon Park,C11,-79.333335,43.711432,1,1,1,1,4,1
405000,1100,Condo Apartment,Apartment,Malvern,E11,-79.226944,43.810909,2,0,2,1,5,1
405000,1100,Condo Apartment,Apartment,Malvern,E11,-79.226944,43.810909,2,0,2,1,5,1
405000,1100,Condo Apartment,Apartment,Malvern,E11,-79.226944,43.810909,2,0,2,1,5,1
405000,1100,Condo Apartment,Apartment,Malvern,E11,-79.226944,43.810909,2,0,2,1,5,1
435000,1100,Condo Apartment,Apartment,Malvern,E11,-79.226944,43.810909,2,0,2,1,5,1
410000,950,Condo Apartment,Apartment,Mount Olive-Silverstone-Jamestown,W10,-79.588564,43.758982,1,1,1,1,5,2
394000,850,Condo Apartment,Apartment,Mount Olive-Silverstone-Jamestown,W10,-79.585176,43.759227,1,0,2,1,5,1
410000,1300,Condo Apartment,Apartment,Kingsview Village-The Westway,W09,-79.554118,43.696063,3,0,2,1,6,1
501500,250,Condo Apartment,Apartment,Mimico,W06,-79.488355,43.624711,1,0,1,1,4,1
500000,250,Condo Apartment,Apartment,Waterfront Communities C1,C01,-79.394839,43.640541,0,0,1,1,4,0
405000,250,Condo Apartment,Apartment,Church-Yonge Corridor,C08,-79.379164,43.65443,0,0,1,1,3,0
410000,1100,Condo Apartment,Apartment,Mount Olive-Silverstone-Jamestown,W10,,,2,0,1,1,5,2
415000,250,Condo Apartment,Bachelor/Studio,Niagara,C01,-79.400357,43.636653,0,0,1,1,1,0
421000,950,Condo Apartment,Apartment,Agincourt South-Malvern West,E07,-79.284401,43.783649,2,0,1,1,6,1
488000,550,Condo Apartment,Apartment,Bayview Village,C15,-79.409581,43.761804,1,0,1,1,4,0
435000,950,Condo Apartment,Apartment,L'Amoreaux,E05,-79.326164,43.793313,2,0,1,1,5,1
407000,250,Condo Apartment,Apartment,Little Portugal,C01,-79.423654,43.641978,1,0,1,1,3,0
415000,250,Condo Apartment,Loft,Little Portugal,C01,-79.424663,43.641695,1,0,1,1,3,0
405000,750,Condo Apartment,Apartment,West Humber-Clairville,W10,-79.609242,43.731976,1,0,1,1,4,1
412000,250,Condo Apartment,Bachelor/Studio,Willowdale East,C14,-79.40906,43.758091,0,0,1,1,0,1
415000,750,Condo Apartment,Apartment,Flemingdon Park,C11,-79.334332,43.711701,1,0,1,1,4,1
